Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
VTT Bio economy+,FIN,Finland,Europe,2019,DEMO,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,Synfuels,Synfuels,4.81,Pink - Nuclear,61.92411,25.748151
Kopernikus,DEU,Germany,Europe,2021,DEMO,Electrolysis,Solid Oxide Electrolysis Cells,No,Other,Synfuels,Synfuels,1,Yellow - Mixed Origin Grid Energy,51.165691,10.451526
Rozenburg Power2Gas Phase 2,NLD,Netherlands,Europe,2019,DEMO,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Grid Injection,1.35,Pink - Nuclear,52.132633,5.291266
Balance project,FIN,Finland,Europe,2019,DEMO,Electrolysis,Solid Oxide Electrolysis Cells,No,Other,Various,Power,1.58,Yellow - Mixed Origin Grid Energy,61.92411,25.748151
H2One - SP Group,SGP,Singapore,Asia and Pacific,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,1,Pink - Nuclear,1.352083,103.819836
Falkenhagen STORE&GO,DEU,Germany,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,CH4,CH4 Grid Injection,180,Pink - Nuclear,51.165691,10.451526
"NEDO kofu city, Yamanashi Prefecture",JPN,Japan,Asia and Pacific,2019,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Combined Heat and Power,288.46,Pink - Nuclear,36.204824,138.252924
Semakau island microgrid Engie (SPORE),SGP,Singapore,Asia and Pacific,2019,Operational,Electrolysis,Unknown PtX,No,Other,H2,Transportation,0,Green - Renewables,1.352083,103.819836
H2PLAZA - Toyota Industries Corporation’s Takahama,JPN,Japan,Asia and Pacific,2019,Operational,Electrolysis,Unknown PtX,No,Other,H2,Transportation,10,Green - Renewables,36.204824,138.252924
Localhy,DEU,Germany,Europe,2019,Operational,Electrolysis,Unknown PtX,No,Other,H2,Refining,,Green - Renewables,51.165691,10.451526
Wind to gas Brunsbüttel,DEU,Germany,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Grid Injection,450,Pink - Nuclear,51.165691,10.451526
Carbon2Chem,DEU,Germany,Europe,2018,Operational,Electrolysis,Alkaline Electrolysis,No,Other,Various,Ammonia,384.62,Green - Renewables,51.165691,10.451526
SunLine Transit Agency,USA,United States,North America,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,288.46,Pink - Nuclear,37.09024,-95.712891
HyBALANCE,DNK,Denmark,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Transportation,230.77,Pink - Nuclear,56.26392,9.501785
Aberdeen Conference Center,GBR,United Kingdom,Europe,2018,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Combined Heat and Power,200,Green - Renewables,55.378051,-3.435973
Lam Takhong Wind Hydrogen Hybrid Project- EGAT,THA,Thailand,Asia and Pacific,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Power,200,Pink - Nuclear,15.870032,100.992541
H2ORIZON,DEU,Germany,Europe,2018,Operational,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Transportation,192.31,Pink - Nuclear,51.165691,10.451526
ASKO Midt-Norge,NOR,Norway,Europe,2018,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Transportation,150,Green - Renewables,60.472024,8.468946
Underground Sun Storage,AUT,Austria,Europe,2018,Operational,Electrolysis,Alkaline Electrolysis,No,Solar PV,CH4,CH4 Grid Injection,130.43,Green - Renewables,47.516231,14.550072
