Project Name,Country,Country Full Name,Region,Date Online,Status,Technology Category,Production Technology,Carbon Capture,Type of Electricity Used for Production,Hydrogen Product,End Use,IEA zero-carbon estimated normalized capacity,Electricty Used Color(Feedstock),Latitude,Longitude
"Haru Oni, phase 2",CHL,Chile,Central and South America,2024,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,Various,Methanol,33653.85,Pink - Nuclear,-35.675147,-71.542969
"Haru Oni, phase 3",CHL,Chile,Central and South America,2026,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,Various,Methanol,444444.44,Green - Renewables,-35.675147,-71.542969
Green Hydrogen Systems - Skai Energies,AUS,Australia,Asia and Pacific,2022,Under construction,Electrolysis,Alkaline Electrolysis,No,Other,H2,Research,42.13,Green - Renewables,-25.274398,133.775136
Hydrospider - Eglisau-Glattfelden,CHE,Switzerland,Europe,2022,FID,Electrolysis,Unknown PtX,No,Hydropower,H2,Transportation,480.77,Green - Renewables,46.818188,8.227512
Pertamina Ulubelu gerothermal plant,MYS,Malaysia,Asia and Pacific,2021,FID,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Refining,0,Green - Renewables,4.210484,101.975766
P2X Harjavalta project,FIN,Finland,Europe,2024,FID,Electrolysis,Alkaline Electrolysis,No,Other,H2,CH4 Grid Injection,4347.83,Green - Renewables,61.92411,25.748151
Ercros - Sabinanigo,ESP,Spain,Europe,,Concept,Electrolysis,Unknown PtX,No,Other,H2,Other Industries,0,Green - Renewables,40.463667,-3.74922
OMNI CT - California,USA,United States,North America,,FID,Biomass,Waste gasification,No,Other,H2,Research,6413.22,Brown - Biomass ,37.09024,-95.712891
Sapio - Mantova,ITA,Italy,Europe,2016,Operational,Natural Gas,Steam Reforming,Yes,Other,H2,Research,0,Grey - Nat Gas Reforming,41.87194,12.56738
Kokkola H2 plant,FIN,Finland,Europe,2014,Operational,Electrolysis,Alkaline Electrolysis,No,Other,H2,Research,1956.52,Green - Renewables,61.92411,25.748151
HyEnergy Zero Carbon Hydrogen,AUS,Australia,Asia and Pacific,,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,Various,Power,1777777.78,Green - Renewables,-25.274398,133.775136
Yellow Sea,CHN,China,Asia and Pacific,,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Power,444444.44,Green - Renewables,35.86166,104.195397
HNH,CHL,Chile,Central and South America,2026,Concept,Electrolysis,Unknown PtX,No,Onshore wind,Ammonia,Ammonia,377777.78,Green - Renewables,-35.675147,-71.542969
Rostock - RWE,DEU,Germany,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,Ammonia,Ammonia,22222.22,Green - Renewables,51.165691,10.451526
CRS4-Italgas Sardinia,ITA,Italy,Europe,,Concept,Electrolysis,Unknown PtX,No,Other,CH4,CH4 Grid Injection,0,Green - Renewables,41.87194,12.56738
"Gen2 Energy Suldal in Ryfylke, 1st phase",NOR,Norway,Europe,2024,Feasibility study,Electrolysis,Unknown PtX,No,Hydropower,H2,Power,2222.22,Green - Renewables,60.472024,8.468946
"Gen2 Energy Suldal in Ryfylke, 2nd phase",NOR,Norway,Europe,,Concept,Electrolysis,Unknown PtX,No,Hydropower,H2,Power,64444.44,Green - Renewables,60.472024,8.468946
"BP Castellon refinery, phase 1",ESP,Spain,Europe,2023,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,4444.44,Green - Renewables,40.463667,-3.74922
SmartQuart project - Kaisersesch ,DEU,Germany,Europe,2022,FID,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Research,192.31,Pink - Nuclear,51.165691,10.451526
Pedirka Hydrogen Project,AUS,Australia,Asia and Pacific,,Concept,Coal,Coal Gassification,Yes,Other,H2,Research,0,Blue - Nat Gas Coal&Oil,-25.274398,133.775136
"Canary Islands Hub, phase 1",ESP,Spain,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Power,1282.64,Green - Renewables,40.463667,-3.74922
"Canary Islands Hub, phase 2",ESP,Spain,Europe,,Concept,Electrolysis,Unknown PtX,No,Other,H2,Power,0,Green - Renewables,40.463667,-3.74922
Suncor Edmonton Refinery,CAN,Canada,North America,2028,Feasibility study,Natural Gas,Steam Reforming,Yes,Other,H2,Refining,250752.89,Grey - Nat Gas Reforming,56.130366,-106.346771
Donghae 1 offshore wind plant,KOR,South Korea,Asia and Pacific,2024,Feasibility study,Electrolysis,Unknown PtX,No,Offshore wind,H2,Transportation,22222.22,Green - Renewables,35.907757,127.766922
Project Jupiter (Gladstone),AUS,Australia,Asia and Pacific,,Feasibility study,Natural Gas,Methane pyrolysis,Yes,Other,H2,Transportation,1872659.18,Turquoise - Nat Gas Pyrolysis,-25.274398,133.775136
Project Mars (Mackay),AUS,Australia,Asia and Pacific,,Concept,Natural Gas,Methane pyrolysis,Yes,Other,H2,Transportation,0,Turquoise - Nat Gas Pyrolysis,-25.274398,133.775136
Liberty North (Newcastle) ,AUS,Australia,Asia and Pacific,,Concept,Natural Gas,Methane pyrolysis,Yes,Other,H2,Transportation,0,Turquoise - Nat Gas Pyrolysis,-25.274398,133.775136
BayoTech - Carbon Clean MoU,USA,United States,North America,2022,Feasibility study,Natural Gas,Steam Reforming,Yes,Other,H2,Research,0,Grey - Nat Gas Reforming,37.09024,-95.712891
GREENH2KER ,ESP,Spain,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,0,Green - Renewables,40.463667,-3.74922
ZEHUS,ITA,Italy,Europe,2023,Feasibility study,Electrolysis,Alkaline Electrolysis,No,Onshore wind,H2,Transportation,869.57,Green - Renewables,41.87194,12.56738
FUTURA,ITA,Italy,Europe,2024,Feasibility study,Electrolysis,Alkaline Electrolysis,No,Hydropower,H2,Transportation,434.78,Green - Renewables,41.87194,12.56738
Sicilian Sustainable Steel,ITA,Italy,Europe,2024,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Iron & Steel,1555.56,Green - Renewables,41.87194,12.56738
Green H2 for Chemical Application - North,ITA,Italy,Europe,2023,Concept,Electrolysis,Unknown PtX,No,Solar PV,H2,Research,444.44,Green - Renewables,41.87194,12.56738
Green H2 for Chemical Application - South,ITA,Italy,Europe,2023,Concept,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,2222.22,Green - Renewables,41.87194,12.56738
La Spezia Green Hydrogen,ITA,Italy,Europe,2024,Concept,Electrolysis,Unknown PtX,No,Solar PV,H2,Transportation,444.44,Green - Renewables,41.87194,12.56738
Road Runner,USA,United States,North America,2023,Feasibility study,Electrolysis,Alkaline Electrolysis,No,Solar PV,H2,Biofuels,4347.83,Green - Renewables,37.09024,-95.712891
"OmanAl Wusta green H2 project, phase 1",OMN,Oman,Middle East,2028,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Power,1037111.11,Green - Renewables,21.512583,55.923255
Plug Power - Fort Worth,USA,United States,North America,,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Power,28089.89,Pink - Nuclear,37.09024,-95.712891
Offshore-to-X,DEU,Germany,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Offshore wind,H2,Synfuels,66666.67,Green - Renewables,51.165691,10.451526
Offshore-to-X,DEU,Germany,Europe,,Feasibility study,Natural Gas,Methane pyrolysis,No,Other,H2,Other Industries,0,Turquoise - Nat Gas Pyrolysis,51.165691,10.451526
HyDeal LA,USA,United States,North America,,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Power,0,Green - Renewables,37.09024,-95.712891
Energiepark Eemshaven West (phase I),NLD,Netherlands,Europe,2024,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Transportation,2222.22,Green - Renewables,52.132633,5.291266
Energiepark Eemshaven West (phase II),NLD,Netherlands,Europe,2027,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Transportation,22222.22,Green - Renewables,52.132633,5.291266
ELYgator,NLD,Netherlands,Europe,2024,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Transportation,44444.44,Green - Renewables,52.132633,5.291266
"CQ-H2, phase 1",AUS,Australia,Asia and Pacific,2025,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,46816.48,Green - Renewables,-25.274398,133.775136
Zeeland Refinery,NLD,Netherlands,Europe,2026,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Refining,33333.33,Green - Renewables,52.132633,5.291266
FUREC,NLD,Netherlands,Europe,2025,Feasibility study,Biomass,Biomass gasification,No,Other,H2,Research,0,Brown - Biomass ,52.132633,5.291266
BrigH2,NLD,Netherlands,Europe,2024,Feasibility study,Biomass,Biomass gasification,No,Other,H2,Research,16853.93,Brown - Biomass ,52.132633,5.291266
Hydrogen Mill,NLD,Netherlands,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Onshore wind,H2,Synfuels,444.44,Green - Renewables,52.132633,5.291266
H2-gateway,NLD,Netherlands,Europe,2025,Feasibility study,Natural Gas,Steam Reforming,Yes,Other,H2,Research,0,Grey - Nat Gas Reforming,52.132633,5.291266
Sinopec - Ordos,CHN,China,Asia and Pacific,2022,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Other Industries,25652.87,Green - Renewables,35.86166,104.195397
Sinopec - Kuqa,CHN,China,Asia and Pacific,2023,Under construction,Electrolysis,Alkaline Electrolysis,No,Solar PV,H2,Refining,56521.74,Green - Renewables,35.86166,104.195397
MMEX - Texas,USA,United States,North America,,Concept,Natural Gas,Steam Reforming,Yes,Other,H2,Research,0,Grey - Nat Gas Reforming,37.09024,-95.712891
GreenHyScale,DNK,Denmark,Europe,2024,Feasibility study,Electrolysis,Alkaline Electrolysis,No,Solar PV,H2,Power,21739.13,Green - Renewables,56.26392,9.501785
EI-H2 - Aghada (phase 1),IRL,Ireland,Europe,2023,Feasibility study,Electrolysis,Unknown PtX,No,Grid,H2,Refining,11111.11,Green - Renewables,53.41291,-8.24389
Green lab skive (Phase II),DNK,Denmark,Europe,2023,FID,Electrolysis,Unknown PtX,No,Combination Renewable,MeOH,Methanol,2666.67,Green - Renewables,56.26392,9.501785
Khalifa Industrial Zone Abu Dhabi (KIZAD) - phase 1,ARE,United Arab Emirates,Middle East,2024,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,Ammonia,Ammonia,9238.73,Green - Renewables,23.424076,53.847818
"HySynergy, phase 3",DNK,Denmark,Europe,2030,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Refining,155555.56,Green - Renewables,56.26392,9.501785
Green H2 New Zealand - Taranaki,NZL,New Zealand,Asia and Pacific,2023,FID,Electrolysis,Unknown PtX,No,Combination Renewable,Various,Ammonia,936.33,Green - Renewables,-40.900557,174.885971
Horizon Oil Sands,CAN,Canada,North America,,Operational,Oil,Oil Residue Gassification,Yes,Other,H2,Refining,26212.32,Blue - Nat Gas Coal&Oil,56.130366,-106.346771
Cerulean Winds - North Sea,GBR,United Kingdom,Europe,2024,Concept,Electrolysis,Unknown PtX,No,Offshore wind,H2,Synfuels,333333.33,Green - Renewables,55.378051,-3.435973
Hyundai Oilbank - Blue H2 Ecosystem,KOR,South Korea,Asia and Pacific,2025,Feasibility study,Natural Gas,Steam Reforming,Yes,Other,H2,Power,0,Grey - Nat Gas Reforming,35.907757,127.766922
Forestal del Atlántico,ESP,Spain,Europe,,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,Synfuels,Synfuels,0,Green - Renewables,40.463667,-3.74922
SoHyCal,ESP,Spain,Europe,2022,Under construction,Electrolysis,Proton Exchange Membrane Electrolysis,No,Solar PV,H2,Transportation,1442.31,Pink - Nuclear,40.463667,-3.74922
Bee’ah waste-to-hydrogen,ARE,United Arab Emirates,Middle East,,Concept,Biomass,Biomass,No,Other,H2,Transportation,0,Brown - Biomass ,23.424076,53.847818
Industrial Cachimayo,PER,Peru,Central and South America,1975,Operational,Electrolysis,Alkaline Electrolysis,No,Hydropower,Ammonia,Ammonia,4215.17,Green - Renewables,-9.189967,-75.015152
Sirea - Castres site,FRA,France,Europe,2021,Operational,Electrolysis,Unknown PtX,No,Solar PV,H2,Transportation,95.56,Green - Renewables,46.227638,2.213749
Rostock - RWE (future phases),DEU,Germany,Europe,,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Research,200000,Green - Renewables,51.165691,10.451526
BASF Ludwigshafen,DEU,Germany,Europe,,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Other,H2,Other Industries,9615.38,Pink - Nuclear,51.165691,10.451526
Davis-Basse Nuclear Power Station,USA,United States,North America,2021,DEMO,Electrolysis,Proton Exchange Membrane Electrolysis,No,Nuclear,H2,Power,384.62,Pink - Nuclear,37.09024,-95.712891
Prairie Island,USA,United States,North America,2021,DEMO,Electrolysis,Solid Oxide Electrolysis Cells,No,Nuclear,H2,Power,263.16,Yellow - Mixed Origin Grid Energy,37.09024,-95.712891
Palo Verde Generating Station ,USA,United States,North America,2023,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Nuclear,H2,Power,3846.15,Pink - Nuclear,37.09024,-95.712891
Bruce Nuclear Generating Station,CAN,Canada,North America,2023,Feasibility study,Electrolysis,Unknown PtX,No,Nuclear,H2,Power,666.67,Green - Renewables,56.130366,-106.346771
Heysham demonstrator 1,GBR,United Kingdom,Europe,,DEMO,Electrolysis,Alkaline Electrolysis,No,Nuclear,H2,Power,217.39,Green - Renewables,55.378051,-3.435973
Heysham demonstrator 2,GBR,United Kingdom,Europe,,DEMO,Electrolysis,Proton Exchange Membrane Electrolysis,No,Nuclear,H2,Power,192.31,Pink - Nuclear,55.378051,-3.435973
Sizewell demonstrator 2,GBR,United Kingdom,Europe,,DEMO,Electrolysis,Unknown PtX,No,Nuclear,H2,Power,444.44,Green - Renewables,55.378051,-3.435973
Kola Nuclear Power Plant demo,RUS,Russia,Asia and Pacific,2020,DEMO,Electrolysis,Unknown PtX,No,Nuclear,H2,Power,40,Green - Renewables,61.52401,105.318756
Hydrogen Lab Bremerhaven (phase 1),DEU,Germany,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Onshore wind,MeOH,Synfuels,444.44,Green - Renewables,51.165691,10.451526
Hydrogen Lab Bremerhaven (phase 2),DEU,Germany,Europe,,Concept,Electrolysis,Unknown PtX,No,Onshore wind,MeOH,Synfuels,1777.78,Green - Renewables,51.165691,10.451526
Hydrogen Lab Leuna (phase 1),DEU,Germany,Europe,2021,Operational,Electrolysis,Solid Oxide Electrolysis Cells,No,Onshore wind,MeOH,Methanol,263.16,Yellow - Mixed Origin Grid Energy,51.165691,10.451526
Hydrogen Lab Leuna (phase 1),DEU,Germany,Europe,,Concept,Electrolysis,Unknown PtX,No,Onshore wind,Synfuels,Synfuels,888.89,Green - Renewables,51.165691,10.451526
Hydrogen Lab Gorlitz,DEU,Germany,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Other,H2,Transportation,0,Green - Renewables,51.165691,10.451526
Hydrogen Eagle (various hubs),POL,Poland,Europe,2030,Feasibility study,Electrolysis,Unknown PtX,No,Offshore wind,H2,Transportation,22222.22,Green - Renewables,51.919438,19.145136
Hydrogen Eagle (various hubs),POL,Poland,Europe,2030,Feasibility study,Electrolysis,Unknown PtX,No,Onshore wind,H2,Transportation,2222.22,Green - Renewables,51.919438,19.145136
Hydrogen Eagle (various hubs),POL,Poland,Europe,2030,Feasibility study,Biomass,Waste gasification,No,Other,H2,Transportation,19239.65,Brown - Biomass ,51.919438,19.145136
Hydrogen Eagle (Litvínov),CZE,Czech Republic,Europe,2030,Feasibility study,Biomass,Biomass gasification,No,Onshore wind,H2,Transportation,5777.78,Brown - Biomass ,49.817492,15.472962
Hydrogen Eagle (Spolana),CZE,Czech Republic,Europe,2030,Feasibility study,Biomass,Waste gasification,No,Onshore wind,H2,Transportation,4000,Brown - Biomass ,49.817492,15.472962
Hydrogen Eagle (Spolana),CZE,Czech Republic,Europe,2030,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Transportation,8000,Green - Renewables,49.817492,15.472962
Hydrogen Eagle (various hubs),SVK,Slovakia,Europe,2030,Feasibility study,Biomass,Biomass gasification,No,Onshore wind,H2,Transportation,13333.33,Brown - Biomass ,48.669026,19.699024
Sines refinery (phase 1),PRT,Portugal,Europe,2024,FID,Biomass,Waste gasification,No,Other,H2,Refining,384.62,Brown - Biomass ,39.399872,-8.224454
Sines refinery (phase 2),PRT,Portugal,Europe,2025,Feasibility study,Biomass,Waste gasification,No,Other,H2,Research,200000,Brown - Biomass ,39.399872,-8.224454
Porto do Acu Fortescue Ammonia Project,BRA,Brazil,Central and South America,,Feasibility study,Biomass,Biomass gasification,No,Combination Renewable,Ammonia,Ammonia,66666.67,Brown - Biomass ,-14.235004,-51.92528
Hoasis (TCP Gecomp),CHL,Chile,Central and South America,,Concept,Biomass,Biomass gasification,No,Solar PV,Various,Ammonia,466666.67,Brown - Biomass ,-35.675147,-71.542969
Ecopetrol 50kW electrolyser,COL,Colombia,Central and South America,2022,DEMO,Biomass,Waste gasification,No,Other,H2,Refining,11.11,Brown - Biomass ,4.570868,-74.297333
H Valle Sur,CHL,Chile,Central and South America,,Concept,Natural Gas,Waste pyrolysis,No,Other,H2,Transportation,0,Blue - Nat Gas Coal&Oil,-35.675147,-71.542969
METH2 Atacama,CHL,Chile,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Other,Various,Methanol,66666.67,Green - Renewables,-35.675147,-71.542969
Villa Lisa ,PRY,Paraguay,Central and South America,,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Transportation,93.63,Green - Renewables,-23.442503,-58.443832
Ciudad del Este ,PRY,Paraguay,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Other,H2,Transportation,0,Green - Renewables,-23.442503,-58.443832
Encarnacion ,PRY,Paraguay,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Other,H2,Transportation,0,Green - Renewables,-23.442503,-58.443832
TA’ZIZ blue ammonia,ARE,United Arab Emirates,Middle East,2025,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,Ammonia,Ammonia,0,Grey - Nat Gas Reforming,23.424076,53.847818
 Badgingarra Renewable Hydrogen Project,AUS,Australia,Asia and Pacific,2023,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Iron & Steel,2222.22,Green - Renewables,-25.274398,133.775136
BHP Nickel West Green Hydrogen ,AUS,Australia,Asia and Pacific,2023,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Other Industries,2222.22,Green - Renewables,-25.274398,133.775136
Dawson Mine,AUS,Australia,Asia and Pacific,2023,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Transportation,2222.22,Green - Renewables,-25.274398,133.775136
"Candem County (GA), green power plant",USA,United States,North America,2022,Under construction,Electrolysis,Proton Exchange Membrane Electrolysis,No,Combination Renewable,H2,Transportation,7022.47,Pink - Nuclear,37.09024,-95.712891
Pego coal plant transition,PRT,Portugal,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,1923.96,Green - Renewables,39.399872,-8.224454
Lhyfe offshore electrolyser,FRA,France,Europe,2022,Under construction,Electrolysis,Unknown PtX,No,Offshore wind,H2,Other Industries,444.44,Green - Renewables,46.227638,2.213749
Rajasthan pilot plant,IND,India,Asia and Pacific,2021,Operational,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,0,Green - Renewables,20.593684,78.96288
OCP Group demo project,MAR,Morocco,Africa,2022,Under construction,Electrolysis,Unknown PtX,No,Other,Ammonia,Ammonia,337.21,Green - Renewables,31.791702,-7.09262
Hofors rolling project,SWE,Sweden,Europe,2022,FID,Electrolysis,Alkaline Electrolysis,No,Grid,H2,Iron & Steel,4347.83,Green - Renewables,60.128161,18.643501
Kazakhstan green hydrogen project,KAZ,Kazakhstan,Asia and Pacific,,Concept,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Power,4444444.44,Green - Renewables,48.019573,66.923684
Manilla Solar & Renewable Energy Storage Project,AUS,Australia,Asia and Pacific,2022,FID,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,444.44,Green - Renewables,-25.274398,133.775136
"Oman-Al Wusta green H2 project, phase 2",OMN,Oman,Middle East,2038,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Power,2074000,Green - Renewables,21.512583,55.923255
AquaVentus (phase 4),DEU,Germany,Europe,2035,Concept,Electrolysis,Unknown PtX,No,Offshore wind,H2,CH4 Grid Injection,1111111.11,Green - Renewables,51.165691,10.451526
EI-H2 - Aghada (phase 2),IRL,Ireland,Europe,2028,Concept,Electrolysis,Unknown PtX,No,Offshore wind,H2,Refining,588888.89,Green - Renewables,53.41291,-8.24389
EI-H2 - Aghada (phase 3),IRL,Ireland,Europe,2028,Concept,Electrolysis,Unknown PtX,No,Offshore wind,Ammonia,Ammonia,111111.11,Green - Renewables,53.41291,-8.24389
Keadby Hydrogen,GBR,United Kingdom,Europe,2030,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,H2,Power,0,Grey - Nat Gas Reforming,55.378051,-3.435973
New Jersey Offshore Wind plant,USA,United States,North America,,Feasibility study,Electrolysis,Unknown PtX,No,Offshore wind,H2,Synfuels,1666.67,Green - Renewables,37.09024,-95.712891
Delicias Solar,MEX,Mexico,Central and South America,2026,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,7777.78,Green - Renewables,23.634501,-102.552784
Pico Truncado,ARG,Argentina,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Other,H2,Research,0,Green - Renewables,-38.416097,-63.616672
Dhamma Energy Guanajuato ,MEX,Mexico,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Solar PV,H2,Research,0,Green - Renewables,23.634501,-102.552784
Mexican Green Hydrogen Hub,MEX,Mexico,Central and South America,,Concept,Electrolysis,Unknown PtX,No,Solar PV,Ammonia,Ammonia,0,Green - Renewables,23.634501,-102.552784
Algeciras Bay,ESP,Spain,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Transportation,52666.67,Green - Renewables,40.463667,-3.74922
Gazifere grid injection,CAN,Canada,North America,,FID,Electrolysis,Unknown PtX,No,Other,H2,Grid Injection,4444.44,Green - Renewables,56.130366,-106.346771
GREEN H2 Langosteira,ESP,Spain,Europe,2023,FID,Electrolysis,Unknown PtX,No,Other,H2,Transportation,0,Green - Renewables,40.463667,-3.74922
Port of Immingham,GBR,United Kingdom,Europe,2025,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Offshore wind,H2,Transportation,3846.15,Pink - Nuclear,55.378051,-3.435973
Pouakai - Taranaki - NH3,NZL,New Zealand,Asia and Pacific,2024,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,Ammonia,Ammonia,62688.22,Grey - Nat Gas Reforming,-40.900557,174.885971
Pouakai - Taranaki - H2,NZL,New Zealand,Asia and Pacific,2024,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,H2,Research,62688.22,Grey - Nat Gas Reforming,-40.900557,174.885971
Jintongling Biomass Gasification ,CHN,China,Asia and Pacific,,FID,Biomass,Biomass gasification,No,Other,H2,Research,22831.05,Brown - Biomass ,35.86166,104.195397
Khalifa Industrial Zone Abu Dhabi (KIZAD) - phase 2,ARE,United Arab Emirates,Middle East,2026,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,Ammonia,Ammonia,36954.91,Green - Renewables,23.424076,53.847818
Veolia wastewater sludge plant,FRA,France,Europe,2021,Operational,Biomass,Waste gasification,No,Other,H2,Transportation,0,Brown - Biomass ,46.227638,2.213749
Egypt Ministry of Electricity and Renewable Energy ,EGY,Egypt,Africa,,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Power,0,Green - Renewables,26.820553,30.802498
IPCEI Blue Danube - first project,DEU,Germany,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Hydropower,H2,Power,4444.44,Green - Renewables,51.165691,10.451526
BayH2,DEU,Germany,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Other,H2,Refining,0,Green - Renewables,51.165691,10.451526
Enid fertiliser,USA,United States,North America,1982,Operational,Natural Gas,Autothermal Reforming,Yes,Other,Ammonia,Ammonia,87763.51,Grey - Nat Gas Reforming,37.09024,-95.712891
Ervia CCS - Irving refinery,IRL,Ireland,Europe,,Feasibility study,Natural Gas,Methane pyrolysis,Yes,Other,H2,Refining,313441.11,Turquoise - Nat Gas Pyrolysis,53.41291,-8.24389
Energean Prinos oil field,GRC,Greece,Europe,,Feasibility study,Natural Gas,Autothermal Reforming,Yes,Other,H2,Research,313441.11,Grey - Nat Gas Reforming,39.074208,21.824312
ArcelorMittal and AirLiquide Dunkirk low-carbon steel (phase 1),FRA,France,Europe,2025,Feasibility study,Natural Gas,Methane pyrolysis,Yes,Other,H2,Iron & Steel,125376.44,Turquoise - Nat Gas Pyrolysis,46.227638,2.213749
CF Fertilisers Ince,GBR,United Kingdom,Europe,,Feasibility study,Natural Gas,Methane pyrolysis,Yes,Other,Ammonia,Ammonia,41374.23,Turquoise - Nat Gas Pyrolysis,55.378051,-3.435973
Sinopec Zhongyuan Oilfield EOR,CHN,China,Asia and Pacific,2015,Operational,Coal,Coal Gassification,Yes,Other,H2,Refining,5984.55,Blue - Nat Gas Coal&Oil,35.86166,104.195397
Changqing Oil Field EOR,CHN,China,Asia and Pacific,2015,Operational,Coal,Coal Gassification,Yes,Other,MeOH,Methanol,2992.27,Blue - Nat Gas Coal&Oil,35.86166,104.195397
Fortescue Future Industries - Port of Pecem,BRA,Brazil,Central and South America,2030,Concept,Electrolysis,Unknown PtX,No,Offshore wind,H2,Domestic Heat,0,Green - Renewables,-14.235004,-51.92528
Marítimo Dragão - Qair,BRA,Brazil,Central and South America,2023,Concept,Electrolysis,Unknown PtX,No,Offshore wind,H2,CH4 Grid Injection,0,Green - Renewables,-14.235004,-51.92528
RIST Hydrogen Research Centre - nuclear Hydrogen project,KOR,South Korea,Asia and Pacific,,DEMO,Electrolysis,Unknown PtX,No,Nuclear,H2,Power,0,Green - Renewables,35.907757,127.766922
Rhode Green Energy Park ,IRL,Ireland,Europe,,DEMO,Electrolysis,Unknown PtX,No,Other,H2,Research,0,Green - Renewables,53.41291,-8.24389
Lysekil refinery (phase 2),SWE,Sweden,Europe,,Feasibility study,Electrolysis,Unknown PtX,No,Combination Renewable,H2,Biofuels,66666.67,Green - Renewables,60.128161,18.643501
KIMA - Aswan electrolyser,EGY,Egypt,Africa,2000,Decommisioned,Electrolysis,Alkaline Electrolysis,No,Hydropower,Ammonia,Ammonia,35869.57,Green - Renewables,26.820553,30.802498
Zimbabwe NH3 plant,ZWE,Zimbabwe,Africa,1975,Decommisioned,Electrolysis,Alkaline Electrolysis,No,Other,Ammonia,Ammonia,21739.13,Green - Renewables,-19.015438,29.154857
Polaris CCS - Scotford refinery,CAN,Canada,North America,2025,Concept,Natural Gas,Steam Reforming,Yes,Other,H2,Refining,47643.05,Grey - Nat Gas Reforming,56.130366,-106.346771
Aukra CCS,NOR,Norway,Europe,,Feasibility study,Natural Gas,Steam Reforming,Yes,Other,H2,Transportation,0,Grey - Nat Gas Reforming,60.472024,8.468946
ArcelorMittal DRI Gijon,ESP,Spain,Europe,2025,Feasibility study,Electrolysis,Unknown PtX,No,Solar PV,H2,Iron & Steel,0,Green - Renewables,40.463667,-3.74922
APEX-Plug Power H2 plamt,USA,United States,North America,,Feasibility study,Electrolysis,Proton Exchange Membrane Electrolysis,No,Onshore wind,H2,Transportation,14044.94,Pink - Nuclear,37.09024,-95.712891
